# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=CE.csv
1.744479175389833259e+01 1.822458108144609098e-11
1.754460449495560326e+01 1.828920166749316249e-11
1.764498832814270202e+01 1.836192323264382056e-11
1.774594652104070036e+01 1.844197514637434880e-11
1.784748235992653775e+01 1.852858124288814960e-11
1.794959914988003646e+01 1.862095672275065517e-11
1.805230021489150261e+01 1.871830539350096007e-11
1.815558889796990272e+01 1.881981725267247728e-11
1.825946856125165851e+01 1.892466641991615677e-11
1.836394258611011665e+01 1.903200942774821093e-11
1.846901437326562956e+01 1.914098388286959410e-11
1.857468734289622248e+01 1.925070751193136568e-11
1.868096493474892839e+01 1.936027760712305279e-11
1.878785060825174824e+01 1.946877088792282355e-11
1.889534784262630396e+01 1.957524379580505639e-11
1.900346013700102077e+01 1.967873323859953907e-11
1.911219101052506986e+01 1.977825780048909085e-11
1.922154400248292205e+01 1.987649048335506796e-11
1.933152267240954814e+01 1.997824682342202717e-11
1.944213060020626571e+01 2.008340901782226240e-11
1.955337138625727889e+01 2.019181465501998064e-11
1.966524865154689294e+01 2.030329840838414559e-11
1.977776603777737208e+01 2.041769173722794947e-11
1.989092720748745435e+01 2.053482260170963473e-11
2.000473584417158790e+01 2.065451519198991897e-11
2.011919565239986341e+01 2.077658967213083180e-11
2.023431035793853994e+01 2.090086193927243860e-11
2.035008370787135590e+01 2.102714339871440578e-11
2.046651947072151501e+01 2.115524075556147964e-11
2.058362143657434373e+01 2.128495582369421485e-11
2.070139341720062731e+01 2.141608535283672788e-11
2.081983924618071669e+01 2.154842087457999226e-11
2.093896277902933534e+01 2.168174856824559064e-11
2.105876789332106824e+01 2.181584914752434385e-11
2.117925848881650097e+01 2.195049776885009607e-11
2.130043848758929670e+01 2.208546396252149675e-11
2.142231183415377771e+01 2.222051158757359515e-11
2.154488249559332402e+01 2.235539881144838077e-11
2.166815446168952164e+01 2.248987811550896966e-11
2.179213174505204975e+01 2.262369632744484107e-11
2.191681838124928206e+01 2.275659468160507631e-11
2.204221842893961991e+01 2.288830890830121709e-11
2.216833597000362488e+01 2.301856935306882529e-11
2.229517510967693639e+01 2.314710112686836678e-11
2.242273997668381114e+01 2.327362428814952216e-11
2.255103472337156845e+01 2.339785405766089934e-11
2.268006352584576035e+01 2.351950106680992351e-11
2.280983058410610553e+01 2.363827164031348980e-11
2.294034012218315155e+01 2.375329781802046823e-11
2.307159638827582882e+01 2.386189067322089829e-11
2.320360365488971510e+01 2.396428607171400929e-11
2.333636621897612784e+01 2.406113257526204254e-11
2.346988840207193761e+01 2.415309473409963048e-11
2.360417455044027690e+01 2.424085157555920615e-11
2.373922903521205541e+01 2.432509527567894233e-11
2.387505625252815733e+01 2.440653002244151968e-11
2.401166062368257670e+01 2.448587107830879633e-11
2.414904659526638397e+01 2.456384404883962513e-11
2.428721863931239966e+01 2.464118436349926641e-11
2.442618125344078450e+01 2.471863697424170686e-11
2.456593896100542906e+01 2.479695627709334782e-11
2.470649631124122791e+01 2.487690626182054174e-11
2.484785787941216739e+01 2.495926089477842575e-11
2.499002826696014168e+01 2.504480474028718829e-11
2.513301210165489152e+01 2.513433382628596998e-11
2.527681403774456115e+01 2.522865676068867742e-11
2.542143875610718595e+01 2.532859610570390016e-11
2.556689096440306841e+01 2.543499001848929095e-11
2.571317539722806700e+01 2.554869416781669070e-11
2.586029681626765608e+01 2.567058393803856739e-11
2.600826001045193081e+01 2.580155693345678158e-11
2.615706979611148242e+01 2.594252241959734192e-11
2.630673101713424344e+01 2.608735787179030457e-11
2.645724854512306123e+01 2.623064061623023453e-11
2.660862727955431950e+01 2.637267436848193819e-11
2.676087214793744806e+01 2.651377029600730197e-11
2.691398810597528879e+01 2.665424688599928845e-11
2.706798013772538525e+01 2.679442985061122031e-11
2.722285325576224224e+01 2.693465207120396369e-11
