# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=DECIGO.csv
1.831572853971735401e-02 1.465248145758077287e-11
1.844114288765471774e-02 1.455747865358826377e-11
1.856741599251428634e-02 1.447826132861538846e-11
1.869455373451201982e-02 1.441264768651279777e-11
1.882256203412782311e-02 1.435853337427913162e-11
1.895144685238125612e-02 1.431387392541204229e-11
1.908121419110912417e-02 1.427667028902546378e-11
1.921187009324492809e-02 1.424495726413015080e-11
1.934342064310031611e-02 1.421679470890810344e-11
1.947587196664837816e-02 1.419026143379187471e-11
1.960923023180895577e-02 1.416345171548092909e-11
1.974350164873584293e-02 1.413447438715090450e-11
1.987869247010597140e-02 1.410145446839838989e-11
2.001480899141057021e-02 1.406253729713472111e-11
2.015185755124839634e-02 1.401589511490398930e-11
2.028984453162081120e-02 1.395973603721432803e-11
2.042877635822906712e-02 1.389231531176566884e-11
2.056865950077346045e-02 1.381725344328502199e-11
2.070950047325464255e-02 1.374285180730026551e-11
2.085130583427698137e-02 1.366903874712526684e-11
2.099408218735394904e-02 1.359559351170289742e-11
2.113783618121562249e-02 1.352230002982777932e-11
2.128257451011830725e-02 1.344894686887717495e-11
2.142830391415632280e-02 1.337532722715756142e-11
2.157503117957576544e-02 1.330123895856791717e-11
2.172276313909064088e-02 1.322648462831059476e-11
2.187150667220095698e-02 1.315087159833719107e-11
2.202126870551312371e-02 1.307421214120341716e-11
2.217205621306253538e-02 1.299632358095802377e-11
2.232387621663825539e-02 1.291702845964110130e-11
2.247673578611009831e-02 1.283615472790029101e-11
2.263064203975775554e-02 1.275353595816772706e-11
2.278560214460238070e-02 1.266901157875353444e-11
2.294162331674023600e-02 1.258242712713032096e-11
2.309871282167882608e-02 1.249363452058172839e-11
2.325687797467514834e-02 1.240249234230155579e-11
2.341612614107638213e-02 1.230886614091641671e-11
2.357646473666290612e-02 1.221262874130687735e-11
2.373790122799356722e-02 1.211366056450133625e-11
2.390044313275344751e-02 1.201184995430164042e-11
2.406409802010386900e-02 1.190709350820696767e-11
2.422887351103494846e-02 1.179929641010346669e-11
2.439477727872041424e-02 1.168837276208971779e-11
2.456181704887499748e-02 1.157403688750461053e-11
2.473000060011413745e-02 1.145565346431389030e-11
2.489933576431622650e-02 1.133345242970805812e-11
2.506983042698737382e-02 1.120773206695743068e-11
2.524149252762851806e-02 1.107878699393838955e-11
2.541433006010526338e-02 1.094690743878118361e-11
2.558835107302000200e-02 1.081237857160779209e-11
2.576356367008685727e-02 1.067547989240695253e-11
2.593997601050893054e-02 1.053648467476449650e-11
2.611759630935831661e-02 1.039565946484968958e-11
2.629643283795868314e-02 1.025326363477670085e-11
2.647649392427035495e-02 1.010954898920458144e-11
2.665778795327824677e-02 9.964759423800541778e-12
2.684032336738220031e-02 9.819130633994007040e-12
2.702410866679024609e-02 9.672889872263149273e-12
2.720915240991434586e-02 9.526255752046878027e-12
2.739546321376896618e-02 9.379438096241370038e-12
2.758304975437239626e-02 9.232637828134366756e-12
2.777192076715067487e-02 9.086046902553078693e-12
2.796208504734448708e-02 8.939848274927145839e-12
2.815355145041861448e-02 8.792903962807026270e-12
2.834632889247443513e-02 8.644159652501057317e-12
2.854042635066500813e-02 8.493995531811080892e-12
2.873585286361323571e-02 8.342776613769405771e-12
