# columns=frequency_hz equivalent_omega_gw
# conversion=2_pi_squared_f_squared_hc_squared_over_3_H0_squared
# source_file=ET.csv
8.387523934724782748e+00 1.284898860995747735e-10
8.448421035130909473e+00 1.279287843330214028e-10
8.509760275180003219e+00 1.271294506114288872e-10
8.571544864999680158e+00 1.262388319086834927e-10
8.633778038024495061e+00 1.254004213794014375e-10
8.696463051165149949e+00 1.247540309658066180e-10
8.759603184978947965e+00 1.244371548279244650e-10
8.823201743841480038e+00 1.245878765758759771e-10
8.887262056119546116e+00 1.253493402189646270e-10
8.951787474345350049e+00 1.268689250405558030e-10
9.016781375391952125e+00 1.288580898789072246e-10
9.082247160649988160e+00 1.310857833070264747e-10
9.148188256205679991e+00 1.335444000547900062e-10
9.214608113020144486e+00 1.362262059998492188e-10
9.281510207109977983e+00 1.391230986712620803e-10
9.348898039729190756e+00 1.422263720610741655e-10
9.416775137552422237e+00 1.455264851119109911e-10
9.485145052859525805e+00 1.490128339656863045e-10
9.554011363721459205e+00 1.526735287760893582e-10
9.623377674187539199e+00 1.564951766098977234e-10
9.693247614474071128e+00 1.604626726894092084e-10
9.763624841154312506e+00 1.645590029555858533e-10
9.834513037349845277e+00 1.687650616492656058e-10
9.905915912923338951e+00 1.730594883018086950e-10
9.977837204672683313e+00 1.774185291773348478e-10
1.005028067652655999e+01 1.818159287917495722e-10
1.012325011974141908e+01 1.862228576207145924e-10
1.019674935309990182e+01 1.906078824657820492e-10
1.027078222311069133e+01 1.949369861396814465e-10
1.034535260420978631e+01 1.991736431190567114e-10
1.042046439896331123e+01 2.032789575575523616e-10
1.049612153827172811e+01 2.072118695161019085e-10
1.057232798157554576e+01 2.109294344173862754e-10
1.064908771706256019e+01 2.143871795402593710e-10
1.072640476187656233e+01 2.175144771772646241e-10
1.080428316232754860e+01 2.200882664399949261e-10
1.088272699410351763e+01 2.221086316086117978e-10
1.096174036248374861e+01 2.236346487174074660e-10
1.104132740255363032e+01 2.247310797709235598e-10
1.112149227942110485e+01 2.254669346530204992e-10
1.120223918843461774e+01 2.259142058054221072e-10
1.128357235540267212e+01 2.261468085027873710e-10
1.136549603681500820e+01 2.262397492286668064e-10
1.144801452006534426e+01 2.262685360483457785e-10
1.153113212367574292e+01 2.263088383091040886e-10
1.161485319752264722e+01 2.264363986682963522e-10
1.169918212306450833e+01 2.267271984484435613e-10
1.178412331357106879e+01 2.272578776826818608e-10
1.186968121435436885e+01 2.281064139635943715e-10
1.195586030300133729e+01 2.293530693940806531e-10
1.204266508960816928e+01 2.310816226832260710e-10
1.213010011701632784e+01 2.333809139776494996e-10
1.221816996105028430e+01 2.363467437878135916e-10
1.230687923075701562e+01 2.397859605030166996e-10
1.239623256864720524e+01 2.432805029368191679e-10
1.248623465093817408e+01 2.468259734015871247e-10
1.257689018779865542e+01 2.504231141015971411e-10
1.266820392359526970e+01 2.540726780577070044e-10
1.276018063714079709e+01 2.577754292649915277e-10
1.285282514194431691e+01 2.615321428526778696e-10
1.294614228646309151e+01 2.653436052464090573e-10
1.304013695435629039e+01 2.692106143328729873e-10
1.313481406474060975e+01 2.731339796268321634e-10
1.323017857244768436e+01 2.771145224405858105e-10
1.332623546828338412e+01 2.811530760559017430e-10
1.342298977928903625e+01 2.852504858984559348e-10
1.352044656900448949e+01 2.894076097148121023e-10
1.361861093773309328e+01 2.936253177519803850e-10
1.371748802280865220e+01 2.979044929395955000e-10
1.381708299886427049e+01 3.022460310747471482e-10
1.391740107810313631e+01 3.066508410095045473e-10
1.401844751057133998e+01 3.111198448411756760e-10
1.412022758443258397e+01 3.156539781053363320e-10
1.422274662624498021e+01 3.202541899716757923e-10
1.432601000123978174e+01 3.249214434426936612e-10
1.443002311360215728e+01 3.296567155552929360e-10
1.453479140675404579e+01 3.344609975853134423e-10
1.464032036363901845e+01 3.393352952550432729e-10
1.474661550700919399e+01 3.442806289437546074e-10
1.485368239971431947e+01 3.492980339013101806e-10
1.496152664499286722e+01 3.543885604648807770e-10
1.507015388676525447e+01 3.595532742788199193e-10
1.517956980992925864e+01 3.647932565177470346e-10
1.528978014065750379e+01 3.701096041128774602e-10
1.540079064669711961e+01 3.750930719289877949e-10
1.551260713767162791e+01 3.793130833761661311e-10
1.562523546538496255e+01 3.827963356333287904e-10
1.573868152412769739e+01 3.855761665095025686e-10
1.585295125098556390e+01 3.876915562148502647e-10
1.596805062615013782e+01 3.891863024558599853e-10
1.608398567323178341e+01 3.901082059092876218e-10
1.620076245957493910e+01 3.905082837730036960e-10
1.631838709657562347e+01 3.904400264932692543e-10
1.643686574000125233e+01 3.899587101103059904e-10
1.655620459031282365e+01 3.891207740524765356e-10
1.667640989298940823e+01 3.879832717318076916e-10
1.679748793885496383e+01 3.866033990208313472e-10
1.691944506440761842e+01 3.850381036758069153e-10
1.704228765215124497e+01 3.833437770516865813e-10
1.716602213092947693e+01 3.815760280519010309e-10
1.729065497626218928e+01 3.797895381826540608e-10
1.741619271068437058e+01 3.780379958368113020e-10
1.754264190408744639e+01 3.763741075109742159e-10
1.767000917406316418e+01 3.748496835499751812e-10
1.779830118624988700e+01 3.735157962027414992e-10
1.792752465468140599e+01 3.724230082493794673e-10
1.805768634213836421e+01 3.716216712121305653e-10
1.818879306050216371e+01 3.711622931857948854e-10
1.832085167111141644e+01 3.710673109213968487e-10
1.845386908512109514e+01 3.707921604583469550e-10
1.858785226386418543e+01 3.701522579599121463e-10
1.872280821921597038e+01 3.692015936910947297e-10
